GIF ID,Web Archive Link,GIPHY Title,Score,
109tc351YfBnYk,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/109tc351YfBnYk/giphy.gif,liam payne GIF,0.50,
109wfu3BYvTRrG,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/109wfu3BYvTRrG/giphy.gif,kim kardashian jenner GIF,0.50,
10A06pOVcpo6hW,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/10A06pOVcpo6hW/giphy.gif,falling GIF,0.50,
10a0js5Sg0IwVi,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/10a0js5Sg0IwVi/giphy.gif,school GIF,0.50,
10a2Ng8ry3ywog,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10a2Ng8ry3ywog/giphy.gif,freya mavor pc GIF,0.50,
10a41LbWiAvY4g,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/10a41LbWiAvY4g/giphy.gif,lilo and stitch GIF,0.50,
10A6fgwEmyGV0c,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10A6fgwEmyGV0c/giphy.gif,higher education university GIF,0.50,
10A862ufdT8To4,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10A862ufdT8To4/giphy.gif,NA,0.50,
10aADbYxnJlc9q,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/10aADbYxnJlc9q/giphy.gif,happy global warming GIF,0.50,
10AAmhfYxV7OiA,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10AAmhfYxV7OiA/giphy.gif,emmett till page GIF,0.50,
10AAZs2bkDEFos,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10AAZs2bkDEFos/giphy.gif,awkward how to GIF,0.50,
10ABvIA9IM29tC,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10ABvIA9IM29tC/giphy.gif,this is bad parks and rec GIF,0.50,
10Acde8wrAisdq,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10Acde8wrAisdq/giphy.gif,Animated GIF,0.50,
10AfQJZDMMIFz2,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10AfQJZDMMIFz2/giphy.gif,modern family luke dunphy GIF,0.50,
10AG9bH1XsMUXS,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10AG9bH1XsMUXS/giphy.gif,,0.50,
10agyyi7VpV720,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/10agyyi7VpV720/giphy.gif,motorcycle GIF,0.50,
10aHAWj6iNM4HS,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/10aHAWj6iNM4HS/giphy.gif,guy scene GIF,0.50,
10aiAxXBHotPtS,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10aiAxXBHotPtS/giphy.gif,emma stone aloha GIF,0.50,
10AjpSfIpOWLra,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/10AjpSfIpOWLra/giphy.gif,yellow bbq sauce Sticker by AnimatedText,0.50,
10AknxZ7mcV1Ly,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/10AknxZ7mcV1Ly/giphy.gif,beach fail GIF by Cheezburger,0.50,
10AnaIUbrGszm0,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10AnaIUbrGszm0/giphy.gif,30 rock woman GIF,0.50,
10and0k7235DEI,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/10and0k7235DEI/giphy.gif,monsieur verdoux intertitle GIF by Maudit,0.50,
10AqHvYQIlxnAA,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10AqHvYQIlxnAA/giphy.gif,amber rose q GIF,0.50,
10aquYbT33DRhS,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10aquYbT33DRhS/giphy.gif,miss congeniality favorite comedy GIF,0.50,
10ArOHCcjRyP5u,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/10ArOHCcjRyP5u/giphy.gif,samurai champloo bath GIF,0.50,
10as2gRsBiqD0Q,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10as2gRsBiqD0Q/giphy.gif,sexy marlon teixeira GIF,0.50,
10auchsxLpe3qE,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10auchsxLpe3qE/giphy.gif,rachel berry girlfriend GIF,0.50,
10AVDflAKRV86A,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10AVDflAKRV86A/giphy.gif,dog butterfly GIF,0.50,
10avjPZP9kwSs0,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10avjPZP9kwSs0/giphy.gif,meg ryan yas GIF,0.50,
10aVMoHYZZZsQM,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/10aVMoHYZZZsQM/giphy.gif, ,0.50,
